id,message,proposed_risk_label,proposed_primary_type,proposed_mechanisms,source_name,source_url,campaign_group,student_decision,corrected_risk_label,corrected_primary_type,corrected_mechanisms,review_notes
msg_train_gov_001,ICA: your passport is under investigation. Pay the S$120 clearance charge today to avoid travel restrictions.,scam,government_impersonation,urgency_or_threat|payment_request|brand_impersonation,SPF/CPFB Joint Advisory on Government Official Impersonation Scam,https://www.police.gov.sg/media-hub/news/2024/20240201_joint_advisory_on_government_official_impersonation_scam,train_gov_ica_clearance_fee_01,,,,,
msg_train_gov_002,MOM work pass notice: upload your Singpass login and OTP at https://mom-pass-review.example.com before 6 pm.,scam,government_impersonation,urgency_or_threat|credential_request|external_link|brand_impersonation|suspicious_url,SPF/GovTech Advisory on Phishing Scams Involving Singpass,https://www.police.gov.sg/media-hub/news/2022/20221002_advisory_on_phishing_scams_involving_singpass,train_gov_mom_pass_review_01,,,,,
msg_train_gov_003,Police warrant department here. Do not discuss this call. Move your savings to the protected account while we verify the case.,scam,government_impersonation,payment_request|secrecy_or_isolation|brand_impersonation,SPF/CPFB Joint Advisory on Government Official Impersonation Scam,https://www.police.gov.sg/media-hub/news/2024/20240201_joint_advisory_on_government_official_impersonation_scam,train_gov_police_protected_account_01,,,,,
msg_train_gov_004,HDB household rebate approved. Enter your card details at https://hdb-rebate.example.net/claim to receive S$480.,scam,government_impersonation,credential_request|external_link|brand_impersonation|suspicious_url,SPF/CPFB Joint Advisory on Government Official Impersonation Scam,https://www.police.gov.sg/media-hub/news/2024/20240201_joint_advisory_on_government_official_impersonation_scam,train_gov_hdb_rebate_card_01,,,,,
msg_train_gov_005,CPF security team detected malware. Install cpf-protect.apk from https://cpf-helpdesk.example.org/app now.,scam,government_impersonation,urgency_or_threat|app_installation|external_link|brand_impersonation|suspicious_url,SPF/CPFB Joint Advisory on Government Official Impersonation Scam,https://www.police.gov.sg/media-hub/news/2024/20240201_joint_advisory_on_government_official_impersonation_scam,train_gov_cpf_malware_apk_01,,,,,
msg_train_gov_006,MOH enforcement notice: an unpaid vaccination fine is recorded under your NRIC. PayNow S$90 within one hour.,scam,government_impersonation,urgency_or_threat|payment_request|brand_impersonation,SPF/CPFB Joint Advisory on Government Official Impersonation Scam,https://www.police.gov.sg/media-hub/news/2024/20240201_joint_advisory_on_government_official_impersonation_scam,train_gov_moh_vaccine_fine_01,,,,,
msg_train_gov_007,Scan this QR and approve the Singpass request so the government officer can cancel the loan opened in your name.,scam,government_impersonation,credential_request|brand_impersonation,SPF/GovTech Advisory on Phishing Scams Involving Singpass,https://www.police.gov.sg/media-hub/news/2022/20221002_advisory_on_phishing_scams_involving_singpass,train_gov_singpass_qr_loan_01,,,,,
msg_train_gov_008,Singapore Customs: prohibited goods were found in a parcel addressed to you. Contact our investigator and keep the matter private.,scam,government_impersonation,urgency_or_threat|secrecy_or_isolation|brand_impersonation,SPF/CPFB Joint Advisory on Government Official Impersonation Scam,https://www.police.gov.sg/media-hub/news/2024/20240201_joint_advisory_on_government_official_impersonation_scam,train_gov_customs_prohibited_parcel_01,,,,,
msg_train_gov_009,IRAS audit resolution: transfer the refundable S$600 bond today. The audit will close after verification.,scam,government_impersonation,urgency_or_threat|payment_request|brand_impersonation,SPF/CPFB Joint Advisory on Government Official Impersonation Scam,https://www.police.gov.sg/media-hub/news/2024/20240201_joint_advisory_on_government_official_impersonation_scam,train_gov_iras_audit_bond_01,,,,,
msg_train_gov_010,I am an Anti-Scam Centre officer. Your account is being drained; send the balance to our temporary holding wallet immediately.,scam,government_impersonation,urgency_or_threat|payment_request|brand_impersonation,SPF/CPFB Joint Advisory on Government Official Impersonation Scam,https://www.police.gov.sg/media-hub/news/2024/20240201_joint_advisory_on_government_official_impersonation_scam,train_gov_asc_holding_wallet_01,,,,,
